name,brand,p/n,code,p_current,p_base,discount,tax,rating,opinions,cpu,cpu_ghz_min,cpu_ghz_max,ram,ram_mhz,ram_gb,gpu,disk1,disk1_gb,disk1_type,disk2,disk2_gb,disk2_type,display,display_inch,display_width,display_height,date,url
"HP Pavilion Gaming 15-EC0007NS AMD Ryzen 5 3550H/8GB/256GB SSD/GTX1050/15.6""",HP,9PV72EA#ABE,259290,499.0,549.0,10.0,21.0,88.3,65," AMD Ryzen 5 3550H con gráficos Radeon? Vega 8 (reloj base 2,1 GHz, incremento máximo hasta 3,7 GHz, 6 MB de caché , 4 núcleos)",2.1,3.7, RAM SDRAM de 8 GB DDR4-2400 (2 x 4 GB),2400,8, NVIDIA® GeForce® GTX 1050 (GDDR5 de 3 GB dedicada), SSD de 256 GB PCIe® NVMe M.2,256,SSD,,,," FHD SVA de 15,6"" (39,6 cm) en diagonal antireflectante de microborde con retroiluminación WLED (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-gaming-15-ec0007ns-amd-ryzen-5-3550h-8gb-256gb-ssd-gtx1050-156
"Toshiba Satellite Pro R40-D-111 Intel Celeron 3865U/4GB/128GB SSD/14""",Toshiba,PS481E-05501KCE,188258,239.0,299.0,21.0,21.0,90.6,66," Intel® Celeron® 3865U (1.80GHz, 2MB)",1.8,, RAM 4 GB DDR3L 2133 (4+0),2133,4, Intel® HD Graphics 610, 128 GB M.2 SATA,128,SATA,,,," 35,6 cm (14,0 "") Pantalla Toshiba HD antirreflejos con 16 : 9 de relación de aspecto y retroiluminación LED 1.366 x 768 (HD)",14.0,1366,768,2020-04-01,https://www.pccomponentes.com/toshiba-satellite-pro-r40-d-111-intel-celeron-3865u-4gb-128gb-ssd-14
"HP 15S-FQ1040NS Intel Core i5-1035G1/8GB/512GB SSD/15.6""",HP,8PS40EA,252513,499.0,499.0,0.0,21.0,83.5,40," i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel®Turbo Boost, 6 MB de caché, 4 núcleos)",1.0,3.6, RAM SDRAM DDR4-2666 de 8 GB (1 x 8 GB)Velocidades de transferencia de hasta 2666 MT/s),2666,8, Gráficos Intel® UHD, SSD de 512 GB PCIe® NVMe? M.2,512,SSD,,,," Pantalla con retroiluminación WLED antirreflejo HD SVA de 39,6 cm (15,6 pulgadas) en diagonal de tipo micro-edge (1366 x 768)",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-15s-fq1040ns-intel-core-i5-1035g1-8gb-512gb-ssd-156
"MSI GF63 Thin 9SC-047XES Intel Corei7-9750H/16GB/512GB SSD/GTX 1650/15.6""",MSI,9S7-16R312-047,199206,898.0,1149.0,22.0,21.0,92.8,411, Intel Core Coffeelake refresh i7-9750H+HM370,,, 16GB DDR4 2666MHz,2666,16, GTX 1650  MAX Q GDDR5 4GB, 512GB NVMe PCIe SSD,512,SSD,,,," 15.6"" FHD (1920*1080), IPS-Level 60Hz 45%NTSCThin Bezel, typ. 250nit , CR 700",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-gf63-thin-9sc-047xes-intel-corei7-9750h-16gb-512gb-ssd-gtx-1650-156
"Asus VivoBook D509DA-EJ098 AMD Ryzen 7 3700U/8GB/512GB SSD/15.6""",Asus,D509DA-EJ098,261637,549.0,549.0,0.0,21.0,88.3,77," AMD® Ryzen 7 3700U (4 Núcleos, 8 Subprocesos, Caché: 4MB Level 3, 2.3GHz hasta 4.0GHz, 64-bit)",2.3,4.0, RAM 8GB (4GB + 4GB [EN PLACA]) DDR4 2400MHz,2400,8, AMD® Radeon™ RX Vega 10 Graphics, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD, 512GB SSD M.2 PCIe® Gen3  NVMe,512,SSD," 15.6"" (39,62cm) LED Retroiluminado / 60Hz / NanoEdge (Borde Estrecho) / Ultra Slim / 200nits / FullHD / Antirreflejos / NTSC:45%",15.6,,,2020-04-01,https://www.pccomponentes.com/asus-vivobook-d509da-ej098-amd-ryzen-7-3700u-8gb-512gb-ssd-156
"HP Pavilion Gaming 15-DK0020NS Intel Core i5-9300H/16GB/512GB SSD/GTX 1050/15.6""",HP,8PK55EA,252591,699.0,699.0,0.0,21.0,92.3,52," Intel® Core?  i5-9300H (frecuencia base de 2,4 GHz, hasta 4,1 GHz con Tecnología Intel® Turbo Boost, 8 MB de caché, 4 núcleos)",2.4,4.1," RAM SDRAM DDR4-2666 de 16 GB (2 x 8 GB), velocidades de transferencia de hasta 2666 MT/s",2666,16,  NVIDIA® GeForce® GTX 1050 (GDDR5 de 3 GB dedicada), SSD de 512 GB PCIe® NVMe? M.2,512,SSD,,,," FHD IPS de 15,6"" (39,6 cm) en diagonal antirreflectante de microborde con retroiluminación WLED (1920 x 1080)",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-gaming-15-dk0020ns-intel-core-i5-9300h-16gb-512gb-ssd-gtx-1050-156
"Lenovo Ideapad S145-15AST AMD A9-9425/8GB/512GB SSD/15.6""",Lenovo,81N300AJSP,250924,419.0,419.0,0.0,21.0,85.1,55," AMD A9-9425 (2C / 2T, 3.1 / 3.7GHz, 1MB L2)",3.1,3.7, RAM 8GB DIMM DDR4-2133,2133,8, AMD Radeon R5 Graphics, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15ast-amd-a9-9425-8gb-512gb-ssd-156
"HP Notebook 255 G7 AMD A4-9125/4GB/1TB/15.6""",HP,6MR14EA,202724,269.0,269.0,0.0,21.0,84.7,118," AMD A4-9125 (1MB Cache, 2.3GHz)",2.3,, RAM 4GB (1866MHz) DDR4-SDRAM (1 x 4),1866,4, AMD Radeon R3, 1000GB HDD,1000,HDD,,,," 39.6 cm (15.6"") HD 1366 x 768 SVA",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/hp-notebook-255-g7-amd-a4-9125-4gb-1tb-156
"Asus TUF Gaming FX505GT-BQ024 Intel Core i7-9750H/16GB/1TB+256GB SSD/GTX 1650/15.6""",Asus,FX505GT-BQ024,243591,898.0,1199.0,26.0,21.0,88.4,372," Intel® Core? i7-9750H (6 Núcleos, 12 Subprocesos, Caché: 12MB Level 3, 2.6GHz hasta 4.5GHz, 64-bit)",2.6,4.5, RAM 16GB (8GB*2) DDR4 2666MHz,2666,16, NVIDIA® GeForce® GTX 1650 4GB GDDR5 VRAM, 256GB SSD M.2 PCIe® NVMe ,256,SSD,  1TB 5400rpm SATA,256,SATA," 15.6"" LED FullHD (1920 x 1080) 16:9 IPS Antirreflejos",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-tuf-gaming-fx505gt-bq024-intel-core-i7-9750h-16gb-1tb-256gb-ssd-gtx-1650-156
"Asus TUF Gaming FX505DV-AL014 AMD Ryzen 7 3750H/16GB/512GB SSD/RTX 2060/15.6""",Asus,FX505DV-AL014,248855,979.0,1199.0,19.0,21.0,83.7,38," AMD® Ryzen? 7 3750H APU (4 Núcleos, 6MB Caché, 2.3GHz hasta 4.0GHz, 64-bit)",2.3,4.0, RAM 16GB (8GB*2) DDR4 2666MHz,2666,16, NVIDIA® GeForce® RTX 2060 6GB GDDR6 VRAM, 512GB SSD M.2 PCIe® Gen3 NVMe,512,SSD,,,," 15.6"" LED FullHD (1920 x 1080) 16:9 IPS Antirreflejos 120Hz 250nits",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-tuf-gaming-fx505dv-al014-amd-ryzen-7-3750h-16gb-512gb-ssd-rtx-2060-156
